episode,step,potato_index,angle,x,y,reward,tower_height,contacts,dx,dy,potatoes_used
58,1,0,240.0,400.00,500.00,75.72,24.70,1,0.00,0.00,1
58,4,2,90.0,403.67,475.30,74.63,24.70,1,0.55,-53.69,2
58,5,3,240.0,403.91,421.62,52.37,24.71,1,82.62,-2.62,3
59,1,1,330.0,400.00,500.00,68.68,24.34,1,0.00,0.00,1
59,2,0,240.0,418.05,475.66,59.87,24.35,1,2.53,-41.65,2
59,3,3,330.0,420.55,434.00,38.12,24.36,1,114.90,38.15,3
59,5,4,330.0,542.68,471.97,66.15,24.36,1,2.14,-60.77,4
60,1,1,210.0,400.00,500.00,75.79,25.95,1,0.00,0.00,1
60,2,3,0.0,393.89,474.05,76.76,25.95,1,0.11,-45.43,2
60,5,0,180.0,393.97,428.62,96.47,26.06,1,0.26,-45.87,3
61,1,3,180.0,400.00,500.00,66.77,22.20,1,0.00,0.00,1
61,2,0,150.0,392.36,477.80,53.25,22.12,1,4.03,-50.98,2
61,4,4,120.0,388.60,426.89,47.41,22.13,1,74.84,-9.47,3
62,1,0,180.0,400.00,500.00,71.14,23.87,1,0.00,0.00,1
62,2,4,90.0,393.40,476.13,43.35,25.79,1,75.76,-15.38,2
62,3,3,330.0,303.44,458.82,73.09,25.83,2,38.13,-54.66,3
62,4,2,120.0,344.57,404.12,16.43,25.86,1,266.45,59.96,4
63,1,1,60.0,400.00,500.00,68.71,24.36,1,0.00,0.00,1
63,2,3,330.0,370.11,475.64,34.27,24.37,1,118.73,-3.62,2
64,1,1,150.0,400.00,500.00,72.23,26.11,1,0.00,0.00,1
64,2,3,60.0,415.09,473.89,37.07,26.09,1,100.39,-25.21,2
64,4,4,30.0,311.57,448.69,85.07,27.33,2,72.15,-25.83,3
64,5,0,0.0,373.16,422.75,87.45,27.36,2,45.27,-41.03,4
65,1,0,30.0,400.00,500.00,73.39,26.69,1,0.00,0.00,1
65,2,1,180.0,390.00,473.31,43.55,25.20,1,82.70,1.52,2
65,4,3,240.0,472.49,474.80,77.29,25.20,2,29.60,-36.00,3
66,1,0,300.0,400.00,500.00,84.27,28.24,1,0.00,0.00,1
66,3,2,0.0,402.21,471.76,45.97,28.28,1,98.76,-4.19,2
67,1,3,210.0,400.00,500.00,62.39,21.20,1,0.00,0.00,1
67,2,2,270.0,377.85,478.80,38.61,21.20,1,10.32,-58.60,2
67,3,1,270.0,368.54,420.20,31.39,21.21,1,102.90,52.19,3
67,5,0,60.0,257.97,475.15,63.33,21.21,1,0.58,-44.84,4
68,1,2,60.0,400.00,500.00,84.42,32.21,1,0.00,0.00,1
68,3,1,150.0,413.31,467.79,39.69,25.07,1,95.11,7.19,2
68,4,3,150.0,508.41,474.93,61.44,25.09,1,3.25,-40.49,3
68,5,0,120.0,511.60,434.42,86.15,25.09,2,61.96,8.19,4
69,1,4,120.0,400.00,500.00,90.81,35.40,1,0.00,0.00,1
69,3,3,0.0,413.13,464.60,35.83,30.06,1,166.10,5.37,2
69,4,2,240.0,246.98,469.94,69.35,30.07,1,0.34,-53.61,3
70,1,4,150.0,400.00,500.00,97.62,35.60,1,0.00,0.00,1
70,2,1,30.0,396.42,464.40,92.68,35.61,1,11.82,-68.20,2
70,4,0,30.0,402.54,396.19,82.86,26.66,2,43.85,8.48,3
71,1,1,90.0,400.00,500.00,63.17,26.59,1,0.00,0.00,1
71,2,4,60.0,448.41,473.41,65.16,26.60,2,77.59,-12.62,2
71,3,0,180.0,524.51,460.78,22.63,23.91,1,212.05,13.87,3
72,1,4,330.0,400.00,500.00,93.93,36.96,1,0.00,0.00,1
72,2,2,180.0,421.41,463.04,36.07,30.68,1,170.20,6.30,2
72,5,3,90.0,587.72,469.32,61.73,29.27,1,82.65,1.43,3
73,1,4,330.0,400.00,500.00,93.93,36.96,1,0.00,0.00,1
73,2,2,90.0,421.41,463.04,80.01,36.96,1,4.47,-65.11,2
73,3,1,60.0,423.65,397.93,92.88,31.97,2,51.00,-4.23,3
74,1,3,120.0,400.00,500.00,73.33,26.67,1,0.00,0.00,1
74,2,0,300.0,423.48,473.33,62.59,26.67,1,3.03,-50.75,2
74,4,1,300.0,420.39,422.57,18.47,24.57,1,201.58,51.72,3
75,1,4,240.0,400.00,500.00,101.68,35.87,1,0.00,0.00,1
75,3,3,270.0,400.05,464.13,64.25,35.94,1,76.10,-12.01,2
75,4,0,270.0,468.52,452.06,101.70,36.58,2,33.77,-23.51,3
76,1,2,270.0,400.00,500.00,92.56,31.28,1,0.00,0.00,1
76,2,1,300.0,400.01,468.72,89.92,31.29,1,0.73,-60.72,2
76,3,4,0.0,399.64,407.99,34.00,26.61,1,176.24,-19.83,3
77,1,1,180.0,400.00,500.00,79.15,25.93,1,0.00,0.00,1
77,4,4,180.0,402.71,474.07,78.50,25.99,1,4.28,-51.08,2
77,5,0,30.0,397.60,422.94,50.52,26.34,1,89.30,21.48,3
78,1,4,150.0,400.00,500.00,97.62,35.60,1,0.00,0.00,1
78,2,2,210.0,396.42,464.40,92.72,35.59,1,9.78,-75.60,2
78,4,1,210.0,401.39,388.80,54.95,25.19,1,69.26,7.94,3
79,1,1,330.0,400.00,500.00,68.68,24.34,1,0.00,0.00,1
79,2,2,270.0,418.05,475.66,58.44,24.36,1,9.19,-48.08,2
80,1,1,0.0,400.00,500.00,76.48,24.21,1,0.00,0.00,1
80,2,3,0.0,401.95,475.79,78.61,24.24,1,1.94,-47.08,2
80,4,4,30.0,399.93,428.68,68.66,24.25,2,89.61,-9.64,3
81,1,1,300.0,400.00,500.00,59.13,24.57,1,0.00,0.00,1
81,2,2,90.0,435.06,475.43,48.91,24.58,1,2.98,-48.26,2
81,3,0,0.0,432.03,427.16,58.98,24.58,1,1.29,-49.67,3
